file,rms_db,peak_db,wind_ratio,level_range_db
IMG_9631.MOV,-47.5,-32.8,0.2,5.0
IMG_9632.MOV,-47.6,-30.4,0.24,5.8
IMG_9633.MOV,-40.7,-25.2,0.64,6.9
IMG_9635.MOV,-35.3,-21.5,0.78,9.0
IMG_9636.MOV,-28.6,-16.3,0.32,4.1
IMG_9637.MOV,-29.6,-16.6,0.27,3.5
IMG_9638.MOV,-27.9,-12.9,0.25,5.0
IMG_9641.MOV,-28.5,-16.1,0.29,2.4
IMG_9642.MOV,-28.8,-15.6,0.32,3.8
IMG_9643.MOV,-27.8,-10.8,0.14,6.2
IMG_9644.MOV,-29.9,-15.1,0.24,7.5
IMG_9645.MOV,-30.4,-16.2,0.25,4.2
IMG_9646.MOV,-20.6,-7.9,0.03,11.6
IMG_9649.MOV,-29.4,-14.8,0.27,8.9
IMG_9650.MOV,-29.2,-13.7,0.35,5.6
IMG_9651.MOV,-26.7,-6.8,0.38,7.0
IMG_9656.MOV,-31.6,-20.1,0.48,0.2
IMG_9657.MOV,-40.4,-24.9,0.3,4.5
IMG_9658.MOV,-41.1,-22.0,0.14,6.8
IMG_9659.MOV,-41.4,-25.7,0.19,6.3
IMG_9660.MOV,-41.0,-23.4,0.21,7.3
IMG_9661.MOV,-41.4,-22.2,0.2,6.5
IMG_9662.MOV,-41.0,-25.2,0.33,8.0
IMG_9663.MOV,-37.6,-22.5,0.3,5.1
IMG_9664.MOV,-42.4,-23.4,0.1,5.0
IMG_9665.MOV,-42.7,-25.4,0.12,7.8
IMG_9666.MOV,-38.5,-16.9,0.16,15.3
IMG_9667.MOV,-41.4,-24.8,0.19,5.5
IMG_9668.MOV,-44.9,-31.7,0.11,2.8
IMG_9669.MOV,-37.5,-19.8,0.33,5.4
IMG_9670.MOV,-33.8,-16.5,0.06,11.2
IMG_9671.MOV,-36.1,-19.7,0.15,8.0
IMG_9672.MOV,-43.0,-25.4,0.21,9.5
IMG_9673.MOV,-30.3,-16.1,0.33,6.1
IMG_9674.MOV,-32.6,-14.8,0.35,3.7
IMG_9675.MOV,-32.5,-19.3,0.47,0.7
IMG_9676.MOV,-33.9,-21.2,0.51,2.9
IMG_9677.MOV,-31.0,-18.0,0.36,2.1
