file,size_mb,duration_s,recorded,device,codec,width,height,orientation,fps,fps_mode,bit_depth,transfer,primaries,hdr_format,bitrate_mbps,dynamic_range,audio,luma_mean,clip_hi_pct,crush_lo_pct,shake_px,camera_travel_px,type,path,flags
IMG_9631.MOV,77.7,11.24,2026-09-23 03:42:05 UTC,iPhone 16 Pro Max,HEVC,3840,2160,horizontal,60.0,VFR,10,HLG,BT.2020,Dolby Vision,54.7,HDR,AAC 2ch 48000Hz,178.3,0.03,0.03,0.05,8.5,video,IMG_9631.MOV,HDR→SDR needed
IMG_9632.MOV,90.7,13.52,2026-09-23 03:42:25 UTC,iPhone 16 Pro Max,HEVC,3840,2160,horizontal,59.94,VFR,10,HLG,BT.2020,Dolby Vision,53.0,HDR,AAC 2ch 48000Hz,180.8,0.0,0.0,3.19,846.0,video,IMG_9632.MOV,HDR→SDR needed; shaky
IMG_9633.MOV,71.3,10.57,2026-09-23 03:42:59 UTC,iPhone 16 Pro Max,HEVC,3840,2160,horizontal,60.0,VFR,10,HLG,BT.2020,Dolby Vision,53.3,HDR,AAC 2ch 48000Hz,179.6,0.02,0.02,0.73,77.4,video,IMG_9633.MOV,HDR→SDR needed
IMG_9635.MOV,20.2,2.98,2026-09-23 03:43:49 UTC,iPhone 16 Pro Max,HEVC,3840,2160,horizontal,59.94,VFR,10,HLG,BT.2020,Dolby Vision,53.3,HDR,AAC 2ch 48000Hz,149.6,0.29,0.0,3.03,142.2,video,IMG_9635.MOV,HDR→SDR needed; shaky
IMG_9636.MOV,35.9,5.42,2026-09-23 04:32:24 UTC,iPhone 16 Pro Max,HEVC,2160,3840,vertical,60.0,VFR,10,HLG,BT.2020,Dolby Vision,52.4,HDR,AAC 2ch 48000Hz,168.1,0.15,0.0,0.02,1.3,video,IMG_9636.MOV,HDR→SDR needed
IMG_9637.MOV,29.1,4.37,2026-09-23 04:38:48 UTC,iPhone 16 Pro Max,HEVC,2160,3840,vertical,60.0,VFR,10,HLG,BT.2020,Dolby Vision,52.6,HDR,AAC 2ch 48000Hz,164.8,0.13,0.22,0.04,1.7,video,IMG_9637.MOV,HDR→SDR needed
IMG_9638.MOV,38.8,5.85,2026-09-23 04:39:10 UTC,iPhone 16 Pro Max,HEVC,2160,3840,vertical,59.94,VFR,10,HLG,BT.2020,Dolby Vision,52.3,HDR,AAC 2ch 48000Hz,169.6,0.18,0.17,1.26,131.4,video,IMG_9638.MOV,HDR→SDR needed; shaky
IMG_9639.HEIC,1.9,,,,,,,,,,,,,,,,,,,,,,image,IMG_9639.HEIC,
IMG_9640.HEIC,1.8,,,,,,,,,,,,,,,,,,,,,,image,IMG_9640.HEIC,
IMG_9641.MOV,21.1,3.22,2026-09-23 04:39:33 UTC,iPhone 16 Pro Max,HEVC,2160,3840,vertical,59.94,VFR,10,HLG,BT.2020,Dolby Vision,51.6,HDR,AAC 2ch 48000Hz,171.0,0.08,0.26,1.24,46.7,video,IMG_9641.MOV,HDR→SDR needed; shaky
